Name,Location,City,P.O Box,Phone,Mobile,Company Page Link,Logo URL
Al Fursan,"Near Fire Station, Dibba",Fujairah,13227,09-2443211,N/A,N/A,/images/placeholder.png
Al Ghub Restaurant,"Bin Sultan Rd, Mamourah",Ras Al Khaimah,5410,07-2282959,N/A,N/A,/images/placeholder.png
Al Grissino,DIFC,Dubai,N/A,04-3524000,N/A,N/A,/images/placeholder.png
Al Habsha Restaurant,"Behind KIA Showroom, TCA",Abu Dhabi,N/A,02-6770014,N/A,N/A,/images/placeholder.png
Al Hadheeth Restaurant,"Near Rotana Hotel, Nabaa",Sharjah,96159,06-5632275,N/A,N/A,/images/placeholder.png
Al Hajis Cafeteria and Restaurant,"Sunshine Bldg, Near Al Tayer Motors, Al Garhoud",Dubai,57671,04-2868244,N/A,N/A,/images/placeholder.png
Al Hakorah Restaurant & Catering,Salam St,Abu Dhabi,4602,02-6447979,N/A,N/A,/images/placeholder.png
Al Hallab Restaurant and Sweets LLC,Al Garhoud,Dubai,40350,04-2823388,N/A,N/A,/images/placeholder.png
Al Hamadi Restaurant,"Al Hamra, Jazeera",Ras Al Khaimah,6487,07-2445416,N/A,N/A,/images/placeholder.png
Al Haram Restaurant,"Near Emarat Petrol Pump, Bazaar Area",Umm Al Quwain,213,06-7656965,N/A,N/A,/images/placeholder.png
Al Heel Rest and Catering,Khalidia,Abu Dhabi,480,02-6215116,N/A,N/A,/images/placeholder.png
Al Hulmiah Restaurant,"Near Liberty Signal, Al Wahda St",Sharjah,N/A,06-5259382,N/A,N/A,/images/placeholder.png
Al Ibrahimi Palace Restaurant,"Opp New Burjuman Centre, Karama",Dubai,N/A,04-3977070,N/A,N/A,/images/placeholder.png
Al Ibtihal Restaurant,N/A,Dubai,N/A,04-3311170,N/A,N/A,/images/placeholder.png
Al Ijaza Cafeteria,"Beach Road, Jumeirah 1",Dubai,N/A,04-3444874,N/A,N/A,/images/placeholder.png
Al Insaf Al Afghani Restaurant,"Near Mubarak Centre, Al Nabba, Rolla",Sharjah,4362,06-5618840,N/A,N/A,/images/placeholder.png
Al Insha Restaurant,"Opp Emirates Islamic Bank, Near National Paints, Kalba Rd",Sharjah,N/A,06-5358438,N/A,N/A,/images/placeholder.png
Al Irshad Restaurant,Khabisi Area,Al Ain,67394,03-7620492,N/A,N/A,/images/placeholder.png
Al Ishbaa Restaurant,Near Mussalla Park,Sharjah,N/A,06-5620410,N/A,N/A,/images/placeholder.png
"Al Islami Foods Co, ( Al Farooj Head Office)",N/A,Jebel Ali,21984,N/A,N/A,N/A,/images/placeholder.png
Al Joory Hyderabadi Restaurant,"Near Old Honda S/R, Abu Shagara",Sharjah,N/A,06-5447373,N/A,N/A,/images/placeholder.png
Al Kabab Al Afghani Al Jadeed Restaurant,"Opp Sadaf Rest, Al Marija St, Mena Rd",Sharjah,N/A,06-0522554,N/A,N/A,/images/placeholder.png
Al Kabab Al Laziz Afghani Rest LLC,"Near Zulekha Hospital, Al Zahra St, Nasiriya",Sharjah,N/A,06-5656127,N/A,N/A,/images/placeholder.png
Al Karnak,Al Diyafa,Dubai,N/A,04-3980123,N/A,N/A,/images/placeholder.png
Al Khaial Cafeteria & Restaurant,"Al Mamzar Building, Bhnd Public Library",Dubai,N/A,04-2628781,N/A,N/A,/images/placeholder.png
Al Khaja Group,N/A,Dubai,5060,04-3808787,N/A,N/A,/images/placeholder.png
Al Khaja Hospitality,Deira,Dubai,5060,04-2973000,N/A,N/A,/images/placeholder.png
Al Khaleej Al Arabi Pastry,N/A,Sharjah,N/A,06-5368950,N/A,N/A,/images/placeholder.png
Al Khaleej Al Latheethah Pastry,Al Buhaira,Sharjah,N/A,06-5564443,N/A,N/A,/images/placeholder.png
Al Khiyma Restaurant,"Near Sahara Centre, Al Nahda St",Sharjah,21107,06-5314858,N/A,N/A,/images/placeholder.png
Al Khoor Restaurant,"Bhnd Old Sharjah Cinema, Rolla",Sharjah,20164,06-5681059,N/A,N/A,/images/placeholder.png
Al Kurup Restaurant,"Near Taxi Station, Industrial Area",Umm Al Quwain,387,06-7664386,N/A,N/A,/images/placeholder.png
Al Maharah Restaurant,"Opp Al Majaz Park, Al Wahda St",Sharjah,23935,06-5599554,N/A,N/A,/images/placeholder.png
Al Majas Restaurant LLC,Bur Dubai,Dubai,102995,04-3930042,N/A,N/A,/images/placeholder.png
Al Malaki Rajasthan Restaurant,"Near Wafa Supermarket, National Paint",Sharjah,25648,06-5340441,N/A,N/A,/images/placeholder.png
Al Mallas,"Jumeirah St, Umm Suqeim 2",Dubai,N/A,800-625527,N/A,N/A,/images/placeholder.png
Al Manbar Cafeteria,"Near Fire Station, Muwaileh",Sharjah,N/A,06-5356919,N/A,N/A,/images/placeholder.png
Al Manbar Restaurant & Cafeteria,"Near Fair Point, Kalba Rd, Indl Area 17",Sharjah,N/A,06-5359454,N/A,N/A,/images/placeholder.png
Al Mansoori Restaurant,Khalidiya,Abu Dhabi,42756,02-6219001,N/A,N/A,/images/placeholder.png
Al Marasim Al Afghani Restaurant,"Near KM Trading, Opp Tasheel. Abu Shagara",Sharjah,N/A,06-5599356,N/A,N/A,/images/placeholder.png
Al Mathaq Al Shamsi Restaurant,"Frij Murar, Deira",Dubai,N/A,04-2711945,N/A,N/A,/images/placeholder.png
Al Mayass Restaurant,Abu Dhabi Corniche,Abu Dhabi,N/A,02-6440440,N/A,N/A,/images/placeholder.png
Al Minar Restaurant,Deira,Dubai,N/A,04-2222622,N/A,N/A,/images/placeholder.png
Al Misyal Bar,Liwa,Abu Dhabi,N/A,02-8822000,N/A,N/A,/images/placeholder.png
Al Mobile Restaurant,"Bhnd Central Bank, Abu Shagara",Sharjah,N/A,06-5593398,N/A,N/A,/images/placeholder.png
Al Nafoora Restaurant - Coral Deira Dubai,Al Muraqabbat Road,Dubai,82999,04-2128268,N/A,N/A,/images/placeholder.png
Al Nahda Palace LLC,Al Nahda,Sharjah,N/A,06-5454422,N/A,N/A,/images/placeholder.png
Al Nakheel Lounge - Grand Hyatt Dubai,Nakheel,Dubai,7978,04-3171100,N/A,N/A,/images/placeholder.png
Al Naseem Al Akhdar Restaurant,"Behind Fortune Hotel, Naif",Dubai,N/A,04-2233661,N/A,N/A,/images/placeholder.png
Al Nashmi Restaurant,"Behind UAE Exchange, Bur Dubai",Dubai,N/A,04-3539926,N/A,N/A,/images/placeholder.png
Al Nasr Cinema Restaurant,"Lulu Village, Muhaisnah, Qusais",Dubai,7135,04-2641925,N/A,N/A,/images/placeholder.png
Al Nasr Restaurant,"R/A 5, Jebel Ali Free Zone",Jebel Ali,16837,04-8818600,N/A,N/A,/images/placeholder.png
Al Nedaa Cafeteria,Bur Dubai,Dubai,85549,04-3593136,N/A,N/A,/images/placeholder.png
Al Noaman Restaurant and Cafeteria,"Sh Ahmed Bin Mohd Sharqi Road, Dibba Al Fujairah",Dibba,12134,09-2441404,N/A,N/A,/images/placeholder.png
Al Nouman Rest and Catering,Dibba,Fujairah,13124,09-2441404,N/A,N/A,/images/placeholder.png
Al Omara Al Jadeed Restaurant,"Near Main Gate, R/A 5, Jebel Ali Free Zone",Jebel Ali,16837,04-8818518,N/A,N/A,/images/placeholder.png
Al Qabael Restaurant,Al Quoz 3,Dubai,11780,04-3392633,N/A,N/A,/images/placeholder.png
Al Qantarah Restaurant,Al Nahda,Sharjah,N/A,06-5316696,N/A,N/A,/images/placeholder.png
Al Qasaba Restaurant,Al Zahara,Ajman,1259,06-7431383,N/A,N/A,/images/placeholder.png
Al Qasr Grills,TCA,Abu Dhabi,45240,02-6449933,N/A,N/A,/images/placeholder.png
Al Qubtan Restaurant,N/A,Dubai,36093,04-2850530,N/A,N/A,/images/placeholder.png
Al Rabash Mandi Restaurant,Al Nahda,Dubai,N/A,04-2344455,N/A,N/A,/images/placeholder.png
Al Raousha Restaurant & Grills,"Behind First Abu Dhabi Bank, Near Al Noor Hospital, Khalifa Street, Al Markaziya",Abu Dhabi,N/A,02-6272637,N/A,N/A,/images/placeholder.png
Al Rawaq,Liwa,Abu Dhabi,N/A,02-8822000,N/A,N/A,/images/placeholder.png
Al Razooqi Restaurant,Al Quoz,Dubai,N/A,04-3383183,N/A,N/A,/images/placeholder.png
Al Reef Al Yamani Restaurant & Bakeries,Abu Hail,Dubai,N/A,04-2699910,N/A,N/A,/images/placeholder.png
Al Reef Lebanese Rest & Grills,Al Qusais,Dubai,2601,04-2632700,N/A,N/A,/images/placeholder.png
Al Reem Trays Restaurant,N/A,Abu Dhabi,N/A,02-6668649,N/A,N/A,/images/placeholder.png
Al Saad Restaurant,"Al Nakheel, Opp Al Rais Travels",Ras Al Khaimah,13135,07-2283889,N/A,N/A,/images/placeholder.png
Al Safadi Grill & Restaurant,Al Qassimia,Sharjah,N/A,06-5751235,N/A,N/A,/images/placeholder.png
Al Safary Restaurant,"Central Market, Dibba Al Hassan",Dibba,12116,09-2444749,N/A,N/A,/images/placeholder.png
Al Safsaf Restaurant,Mussafah 10,Abu Dhabi,N/A,02-5522585,N/A,N/A,/images/placeholder.png
Al Sahil Al Jadeed Restaurant,Abu Shagara,Sharjah,N/A,06-5485996,N/A,N/A,/images/placeholder.png
Al Sakab,Shaikh Zayed Road,Dubai,N/A,04-3234333,N/A,N/A,/images/placeholder.png
Al Satwa Garden Restaurant,Satwa,Dubai,N/A,04-3290052,N/A,N/A,/images/placeholder.png
Al Shahama Cafeteria,"Muradi Rd, Satwa",Dubai,N/A,04-3327375,N/A,N/A,/images/placeholder.png
Al Shaheen Restaurant,Bateen,Abu Dhabi,46127,02-6651164,N/A,N/A,/images/placeholder.png
Al Shaki Restaurant,"Oman Rd, Al Nakheel",Ras Al Khaimah,11598,07-2288354,N/A,N/A,/images/placeholder.png
Al Sham Rose Restaurant,"Next to Dubai Women's College, Bhnd NMC, Al Qusais",Dubai,N/A,04-2677917,N/A,N/A,/images/placeholder.png
Al Sham Village Restaurant,"Jumeirah Beach Road, Umm Suqeim 2",Dubai,233485,04-3399517,N/A,N/A,/images/placeholder.png
Al Shamah Cafeteria,"Near Al Wafa Centre, Muweilah",Sharjah,N/A,06-5356366,N/A,N/A,/images/placeholder.png
Al Shameat Restaurant,"Near Al Waheda Post, Jamal Abdel Naser St",Sharjah,N/A,06-5535505,N/A,N/A,/images/placeholder.png
Al Shami Corner Rest,Jamal Abdul Nasir St,Sharjah,N/A,06-5558086,N/A,N/A,/images/placeholder.png
Al Shater Hassan Restaurant,N/A,Abu Dhabi,N/A,02-6416616,N/A,N/A,/images/placeholder.png
Al Sheraa Al Dahbi Seafood Restaurant,Khalifa St,Abu Dhabi,41230,02-6277204,N/A,N/A,/images/placeholder.png
Al Sheraa Al Dhabi Restaurant,Khalfa Street A Noor Hosptal Bldg.,Abu Dhabi,N/A,050-8383454,N/A,N/A,/images/placeholder.png
Al Sheraa Dhahabi Sea Food Restaurant,Khalifa St,Abu Dhabi,41230,02-6277204,N/A,N/A,/images/placeholder.png
Al Shorafa Restaurant,Bur Dubai,Dubai,50589,04-3935678,N/A,N/A,/images/placeholder.png
Al Shorfa Restaurant And Cafe,Dubai Marina,Dubai,238888,04-4525254,N/A,N/A,/images/placeholder.png
Al Sibtain Restaurant,Old Passport Rd,Abu Dhabi,55104,02-6723472,N/A,N/A,/images/placeholder.png
Al Sirath Restaurant & Grill,Al Qassimia,Sharjah,N/A,06-5743422,N/A,N/A,/images/placeholder.png
Al Subat Restaurant,"Al Zahra St, Maysaloon",Sharjah,N/A,06-5638988,N/A,N/A,/images/placeholder.png
Al Sukaria Restaurant & Cafe,"Al Sheebani Building, Al Seba St, Dubai Marina",Dubai,N/A,04-5530501,N/A,N/A,/images/placeholder.png
Al Sultan Restaurant,Defence Rd,Abu Dhabi,70070,02-6415035,N/A,N/A,/images/placeholder.png
Al Sultan Restaurant,"Opp Dubai Comml Bank, Al Nakheel",Ras Al Khaimah,1063,07-2221076,N/A,N/A,/images/placeholder.png
Al Surur Traditional Kitchen,Ras Al Khor,Dubai,66743,04-2894328,N/A,N/A,/images/placeholder.png
Al Tabaq Al Zahabi Restaurant,"Opp New Etisalat Building, Near Al Ghubaiba Bus Stn, Bur Dubai",Dubai,N/A,04-3933812,N/A,N/A,/images/placeholder.png
Al Taher Restaurant,Corniche Rd,Ajman,4683,06-7473569,N/A,N/A,/images/placeholder.png
Al Tahi Al Arabic Restaurant LLC,Sahara Mall,Sharjah,N/A,06-5251919,N/A,N/A,/images/placeholder.png
Al Taiba Restaurant,"Bhnd Pic & Save S/Market, King Faisal Rd",Sharjah,4427,06-5598255,N/A,N/A,/images/placeholder.png
Al Taj Restaurant,"Al Baraha, Deira",Dubai,251792,04-2711273,N/A,N/A,/images/placeholder.png
Al Tannour,"Crowne Plaza, Sh zayed road",Dubai,N/A,04-3311111,N/A,N/A,/images/placeholder.png
Al Tasamoh Kitchen and Mandi Rest,"Damascus Rd, Al Qusais",Dubai,48600,04-2676622,N/A,N/A,/images/placeholder.png
Al Thahabi Cafeteria,N/A,Sharjah,N/A,06-5650164,N/A,N/A,/images/placeholder.png
Al Wafa Restaurant,Al Rashidiya 1,Ajman,1175,06-7408413,N/A,N/A,/images/placeholder.png
Al Waha International,Qasar Al Sarab Desert Resort,Abu Dhabi,N/A,02-8862088,N/A,N/A,/images/placeholder.png
Al Wakra Restaurant,"Opp Sana Fashions, Al Qassimia Rd",Sharjah,63609,06-5396960,N/A,N/A,/images/placeholder.png
Al Waqqas Restaurant,"Opp Taxi Stand, Bur Dubai",Dubai,52681,04-3933612,N/A,N/A,/images/placeholder.png
Al Yasmeen Al Shami Restaurant,"Near Hilal Bank, Abdul Aziz Rd",Sharjah,N/A,06-5482240,N/A,N/A,/images/placeholder.png
Al Yemen Mandi Restaurant,Abu Hail,Dubai,N/A,04-2662207,N/A,N/A,/images/placeholder.png
Al Zad Restaurant,"Damascus Street, Al Qusais",Dubai,N/A,04-2635470,N/A,N/A,/images/placeholder.png
Al Zahra Walandaleeb Rest,Deira,Dubai,29688,04-2221422,N/A,N/A,/images/placeholder.png
Al Zanjabeel Fast Food,King Faisal Street,Sharjah,N/A,06-5448817,N/A,N/A,/images/placeholder.png
Allures Coffees,"Oaks Liwa Heights Hotel, JLT",Dubai,N/A,04-4363434,N/A,N/A,/images/placeholder.png
Almanhal Restaurant & Cafeteria LLC,"Al Zahra St, Nasseriya",Sharjah,N/A,06-5655253,N/A,N/A,/images/placeholder.png
Almaz By Momo,Mall of The Emirates,Dubai,N/A,04-4098877,N/A,N/A,/images/placeholder.png
Alpha Restaurant,Al Manakh,Sharjah,73116,055-7700860,N/A,N/A,/images/placeholder.png
Alrabee Alshami Bakeries,"King Faisal Rd, Al Qasimiyah",Sharjah,N/A,06-5756700,N/A,N/A,/images/placeholder.png
Alto Mar,Jumeirah Fishing Harbour,Dubai,N/A,04-3435225,N/A,N/A,/images/placeholder.png
Amala - Jumeirah Zabeel Saray,"Right Wing, Jumeirah Zabeel Saray, Palm Jumeirah",Dubai,N/A,04-4530000,N/A,N/A,/images/placeholder.png
Amani Pizza,"Beside KM Trading, Salam Street",Abu Dhabi,N/A,02-4488612,N/A,N/A,/images/placeholder.png
Amassi International Cuisine and Lounge,Khalidiya,Abu Dhabi,37747,02-6810099,N/A,N/A,/images/placeholder.png
Amrutha Restaurant,"Opp Adcb, Mana Rd, Rolla",Sharjah,21677,06-5325355,N/A,N/A,/images/placeholder.png
Amwaj Seafood,Baniyas Island,Abu Dhabi,N/A,02-8015400,N/A,N/A,/images/placeholder.png
Anar,Souk Madinat,Dubai,N/A,04-3686505,N/A,N/A,/images/placeholder.png
Angar,"Yas Viceroy, Yas Island",Abu Dhabi,N/A,02-6560760,N/A,N/A,/images/placeholder.png
Anjappar Authentic Chettinad Restaurant,"Behind Commercial Bank Of Dubai, Khalidiya",Abu Dhabi,37658,02-6667763,N/A,N/A,/images/placeholder.png
Anjappar Chettinad Restaurant LLC,"Al Murjan Tower, Near Carrefour, Al Nahda",Dubai,N/A,04-2578773,N/A,N/A,/images/placeholder.png
Annam Restaurant,Salam St,Abu Dhabi,126587,02-6436088,N/A,N/A,/images/placeholder.png
Ansari Group of Company,"King Abdul Aziz Street, Al Qasimia",Sharjah,N/A,06-8859635,N/A,N/A,/images/placeholder.png
Antar Cafeteria,Jumeirah 4,Dubai,N/A,04-3955722,N/A,N/A,/images/placeholder.png
Anwar Restaurant,Hili,Al Ain,1676,03-7845811,N/A,N/A,/images/placeholder.png
Apple Cafe and Restaurant,"3rd Flr, Twin Towers, Baniyas Rd, Deira",Dubai,42714,04-2274446,N/A,N/A,/images/placeholder.png
Arab Island Restaurant,Hor Al Anz,Dubai,N/A,04-2621212,N/A,N/A,/images/placeholder.png
Arab Tower Restaurant,Umm Al Nar,Abu Dhabi,8879,02-5583738,N/A,N/A,/images/placeholder.png
Arabian Fome Restaurant & Cafeteria,Al Quoz,Dubai,N/A,04-3388980,N/A,N/A,/images/placeholder.png
